Video_File,Frame,Timestamp,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area,confidence,Left_Shoulder_X,Left_Shoulder_Y,Left_Shoulder_Conf,Right_Shoulder_X,Right_Shoulder_Y,Right_Shoulder_Conf,Left_Elbow_X,Left_Elbow_Y,Left_Elbow_Conf,Right_Elbow_X,Right_Elbow_Y,Right_Elbow_Conf,Left_Wrist_X,Left_Wrist_Y,Left_Wrist_Conf,Right_Wrist_X,Right_Wrist_Y,Right_Wrist_Conf,Left_Hip_X,Left_Hip_Y,Left_Hip_Conf,Right_Hip_X,Right_Hip_Y,Right_Hip_Conf,Left_Knee_X,Left_Knee_Y,Left_Knee_Conf,Right_Knee_X,Right_Knee_Y,Right_Knee_Conf,Left_Ankle_X,Left_Ankle_Y,Left_Ankle_Conf,Right_Ankle_X,Right_Ankle_Y,Right_Ankle_Conf
squats_1.mp4,0,0,620,111,755,405,39690,0.910209954,721.8061523,174.6547852,0.990729034,660.8458862,174.1152344,0.995749116,736.7596436,217.9026031,0.956315219,641.550415,217.8605804,0.984333813,745.5671387,255.550354,0.925854445,632.5879517,258.7991028,0.966067135,710.1871338,260.9416199,0.995734632,668.3953857,261.0425415,0.997011542,718.9941406,317.29422,0.988482654,655.5869141,316.7437134,0.992520809,722.3563843,377.0653687,0.964243591,653.4277344,378.4537964,0.973715067
squats_1.mp4,1,0.1,620,111,755,405,39690,0.910340846,721.7334595,174.6521301,0.990727067,660.8566895,174.1448517,0.99581784,736.7164917,217.9058228,0.955881,641.5231934,217.8852234,0.984513819,745.5881958,255.5227356,0.925180793,632.5777588,258.7854004,0.966299355,710.1435547,260.8318481,0.995702922,668.3882446,260.9574585,0.997013807,718.9707031,317.2719727,0.988363206,655.5891113,316.7590637,0.992501616,722.4414063,377.0848083,0.96385771,653.3727417,378.4717712,0.973557532
squats_1.mp4,2,0.2,620,111,755,405,39690,0.910355449,721.741272,174.6459808,0.99072206,660.8496094,174.1348724,0.995814741,736.7125854,217.8942413,0.955859542,641.5178833,217.8726044,0.984502375,745.5801392,255.5159302,0.925141752,632.5783691,258.7949219,0.966273546,710.1289063,260.8216248,0.995698929,668.3637085,260.9429932,0.997010708,718.9765015,317.3248596,0.988345921,655.5805054,316.7910156,0.992489755,722.4562988,377.1326904,0.963796139,653.3657227,378.4882813,0.973510444
squats_1.mp4,3,0.3,620,111,755,405,39690,0.91036725,721.7440796,174.6502991,0.990727901,660.8494263,174.1403656,0.995814264,736.7114868,217.8935852,0.95588994,641.5205688,217.8766479,0.984497964,745.5838013,255.5172729,0.925176859,632.5776978,258.7895813,0.966265976,710.1348877,260.8412476,0.995701373,668.3671265,260.9610901,0.997011304,718.9805908,317.3449097,0.988351643,655.5773926,316.7993774,0.99249059,722.4584351,377.1567688,0.963809967,653.3615723,378.4906921,0.973514497
squats_1.mp4,4,0.4,620,111,755,405,39690,0.910457075,721.7372437,174.6529541,0.990736783,660.8433838,174.127121,0.995820165,736.7155151,217.9147491,0.955923915,641.5218506,217.875946,0.984519243,745.5643311,255.5216675,0.925234616,632.5808105,258.7771912,0.966304898,710.1116333,260.7556458,0.995709538,668.3410034,260.8720703,0.997017622,718.9681396,317.2838135,0.988379955,655.5452881,316.757019,0.992510915,722.4659424,377.1027222,0.963892162,653.3588257,378.4892883,0.973579824
squats_1.mp4,5,0.5,620,111,755,405,39690,0.910372496,721.7484131,174.6539307,0.990740299,660.8157959,174.1196136,0.995812953,736.7037964,217.9269562,0.955977738,641.5031128,217.8703308,0.984497547,745.5452881,255.5794067,0.925299525,632.567688,258.8362427,0.96627295,710.1488037,260.8001099,0.995709777,668.3511963,260.9073181,0.997014761,719.0255737,317.3680725,0.988371551,655.5579834,316.7911987,0.992497444,722.5109863,377.192749,0.963851273,653.336731,378.4880066,0.973532438
squats_1.mp4,6,0.6,620,111,755,405,39690,0.910384238,721.7609863,174.6634064,0.990749538,660.8095093,174.1306458,0.995818794,736.6851196,217.9240417,0.956022501,641.5018311,217.8943481,0.984522462,745.5517578,255.590332,0.92535454,632.5627441,258.8581238,0.966315925,710.1609497,260.810791,0.995723605,668.3485718,260.9099731,0.997024953,719.0840454,317.4224854,0.988414526,655.5794678,316.782959,0.992527008,722.5278931,377.3084717,0.963980258,653.3144531,378.5007324,0.973634183
squats_1.mp4,7,0.7,624,174,760,407,31688,0.912734926,724.7578735,223.2849426,0.989639521,657.8139648,223.9972534,0.994937897,744.0557861,261.3253174,0.96524328,640.5584717,264.9283447,0.98285681,732.4022827,276.2287598,0.94536972,659.2762451,286.9367065,0.964395285,707.8325195,287.9543457,0.996524513,661.5958252,288.0353088,0.997625053,729.8890381,317.6690369,0.990690947,652.9404907,317.2390747,0.992818475,719.6040649,379.2739868,0.97772038,643.302063,379.5172119,0.981635094
squats_1.mp4,8,0.8,625,207,759,407,26800,0.891729653,721.7266846,252.7624207,0.987854302,659.3853149,253.0108337,0.993554592,740.1765137,290.1731262,0.954837143,641.6142578,291.6080322,0.976375341,724.2235718,291.2561951,0.926980615,665.0016479,296.5212708,0.951220393,706.6809082,308.9835205,0.992052317,662.7877808,309.1182556,0.994352102,729.8336182,322.5463257,0.973864436,653.2293091,322.467926,0.979320168,723.4066772,384.7870483,0.939611375,646.8024902,385.6660156,0.94902581
squats_1.mp4,9,0.9,625,227,755,408,23530,0.888189912,724.6278076,269.3291016,0.992882848,658.6582031,271.2599792,0.995706379,743.0217896,303.8798218,0.966476679,647.7759399,308.1584167,0.978291035,726.7399902,302.3683167,0.946102977,675.8804321,306.9215393,0.958749771,715.4246826,312.3246155,0.994710803,669.5617065,313.4165039,0.99616015,730.5951538,329.268158,0.987285078,655.116272,330.155304,0.9891994,724.9620972,386.3494568,0.970769644,650.3989868,387.6299744,0.973637342
